ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,participant,session,date,expName,psychopyVersion,frameRate
monkey,fox,giraffe,cow,rat,ant,shark,duck,tiger,"['stim2', 'stim8', 'stim3', 'stim1', 'stim4', 'stim7', 'stim5', 'stim6']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
tiger,frog,owl,turkey,butterfly,duck,bear,spider,bluebird,"['stim1', 'stim6', 'stim7', 'stim3', 'stim2', 'stim8', 'stim5', 'stim4']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
owl,tiger,turtle,pigeon,horse,crocodile,shark,bluebird,fox,"['stim3', 'stim7', 'stim4', 'stim8', 'stim1', 'stim5', 'stim2', 'stim6']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
spider,whale,eagle,crocodile,pigeon,shark,bear,goldfish,butterfly,"['stim8', 'stim3', 'stim7', 'stim4', 'stim2', 'stim6', 'stim5', 'stim1']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
duck,cow,bear,tiger,turkey,lizard,frog,pigeon,turtle,"['stim4', 'stim7', 'stim5', 'stim6', 'stim8', 'stim1', 'stim2', 'stim3']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
fox,eagle,frog,sparrow,dog,pigeon,bluebird,horse,snake,"['stim7', 'stim4', 'stim2', 'stim8', 'stim1', 'stim5', 'stim3', 'stim6']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
whale,hog,tiger,pigeon,giraffe,spider,bat,snail,bluebird,"['stim4', 'stim2', 'stim1', 'stim6', 'stim3', 'stim8', 'stim5', 'stim7']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
shark,mouse,lizard,bluebird,duck,ant,dolphin,butterfly,tiger,"['stim6', 'stim8', 'stim2', 'stim1', 'stim4', 'stim5', 'stim3', 'stim7']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
monkey,dog,dolphin,crocodile,ant,turtle,bat,duck,horse,"['stim1', 'stim8', 'stim6', 'stim2', 'stim3', 'stim7', 'stim5', 'stim4']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
hog,butterfly,pigeon,shark,rat,sheep,duck,tiger,monkey,"['stim5', 'stim4', 'stim8', 'stim7', 'stim2', 'stim6', 'stim1', 'stim3']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
lizard,duck,frog,butterfly,snake,sheep,bluebird,monkey,mouse,"['stim4', 'stim2', 'stim1', 'stim8', 'stim5', 'stim7', 'stim3', 'stim6']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
sheep,snake,monkey,spider,dolphin,frog,turtle,owl,hog,"['stim8', 'stim2', 'stim4', 'stim6', 'stim5', 'stim7', 'stim3', 'stim1']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
sparrow,giraffe,tiger,sheep,bat,dolphin,snake,goldfish,bear,"['stim4', 'stim3', 'stim7', 'stim6', 'stim1', 'stim8', 'stim2', 'stim5']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
tiger,ant,whale,dog,dolphin,bat,crocodile,fox,sparrow,"['stim3', 'stim4', 'stim2', 'stim5', 'stim6', 'stim7', 'stim8', 'stim1']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
bluebird,ladybug,tiger,ant,elephant,pigeon,whale,shark,snake,"['stim5', 'stim1', 'stim3', 'stim2', 'stim4', 'stim8', 'stim6', 'stim7']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
ant,turkey,dolphin,frog,lizard,turtle,bear,crocodile,bluebird,"['stim4', 'stim5', 'stim3', 'stim8', 'stim7', 'stim6', 'stim1', 'stim2']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
ant,pigeon,monkey,eagle,goldfish,spider,sparrow,snake,ladybug,"['stim5', 'stim8', 'stim6', 'stim7', 'stim1', 'stim3', 'stim4', 'stim2']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
snail,owl,goldfish,goat,lizard,turkey,sparrow,frog,dog,"['stim4', 'stim7', 'stim2', 'stim6', 'stim3', 'stim8', 'stim5', 'stim1']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
dog,snail,rat,fox,goldfish,sparrow,horse,turtle,shark,"['stim3', 'stim6', 'stim2', 'stim7', 'stim4', 'stim5', 'stim1', 'stim8']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
giraffe,dolphin,turtle,snake,ant,sparrow,ladybug,owl,turkey,"['stim1', 'stim8', 'stim7', 'stim2', 'stim5', 'stim3', 'stim4', 'stim6']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
