ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,participant,session,date,expName,psychopyVersion,frameRate
hog,snake,crocodile,elephant,cow,dog,spider,bluebird,ant,"['stim4', 'stim5', 'stim3', 'stim2', 'stim1', 'stim8', 'stim6', 'stim7']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
sparrow,mouse,elephant,pigeon,turtle,spider,whale,rat,horse,"['stim3', 'stim1', 'stim7', 'stim5', 'stim4', 'stim8', 'stim2', 'stim6']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
turkey,ant,shark,giraffe,cat,pigeon,turtle,bat,bluebird,"['stim5', 'stim8', 'stim7', 'stim4', 'stim1', 'stim6', 'stim3', 'stim2']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
pigeon,giraffe,frog,bear,crocodile,fox,sheep,ladybug,whale,"['stim7', 'stim2', 'stim6', 'stim5', 'stim3', 'stim1', 'stim8', 'stim4']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
snail,spider,cat,cow,dolphin,tiger,rat,ant,monkey,"['stim7', 'stim1', 'stim6', 'stim2', 'stim8', 'stim8', 'stim3', 'stim4', 'stim5']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
whale,sheep,goat,bear,goldfish,crocodile,eagle,monkey,ladybug,"['stim4', 'stim5', 'stim3', 'stim7', 'stim2', 'stim1', 'stim8', 'stim6']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
fox,turtle,cat,ant,goat,dolphin,ladybug,bat,lizard,"['stim4', 'stim2', 'stim7', 'stim1', 'stim8', 'stim3', 'stim6', 'stim5']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
sheep,horse,goat,dolphin,turkey,hog,dog,rat,fox,"['stim2', 'stim1', 'stim8', 'stim6', 'stim5', 'stim7', 'stim4', 'stim3']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
owl,turtle,pigeon,crocodile,horse,fox,tiger,shark,bluebird,"['stim2', 'stim8', 'stim1', 'stim5', 'stim4', 'stim6', 'stim3', 'stim7']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
owl,dog,crocodile,cat,turtle,lizard,rat,spider,giraffe,"['stim6', 'stim3', 'stim1', 'stim4', 'stim2', 'stim5', 'stim8', 'stim7']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
dog,mouse,ant,turtle,cat,monkey,dolphin,pigeon,shark,"['stim4', 'stim5', 'stim1', 'stim6', 'stim3', 'stim7', 'stim2', 'stim8']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
goat,lizard,dog,fox,tiger,snake,monkey,shark,pigeon,"['stim2', 'stim6', 'stim3', 'stim4', 'stim1', 'stim8', 'stim5', 'stim7']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
lizard,dog,elephant,spider,goldfish,fox,rat,ant,giraffe,"['stim3', 'stim6', 'stim4', 'stim7', 'stim1', 'stim5', 'stim8', 'stim2']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
dog,giraffe,frog,bluebird,bear,eagle,lizard,elephant,butterfly,"['stim4', 'stim8', 'stim6', 'stim7', 'stim1', 'stim2', 'stim5', 'stim3']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
rat,dolphin,monkey,duck,crocodile,goldfish,owl,turtle,ladybug,"['stim7', 'stim2', 'stim8', 'stim5', 'stim4', 'stim3', 'stim6', 'stim1']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
whale,crocodile,snake,tiger,bluebird,frog,goat,sparrow,elephant,"['stim3', 'stim6', 'stim1', 'stim2', 'stim8', 'stim5', 'stim7', 'stim4']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
